date,hour,end_hour,start_station_id,end_station_id,day_type,trips
2018-10-02,17,19,248,259,1,5
2018-10-02,18,19,254,265,1,1
2018-10-02,18,19,258,261,1,1
2018-10-02,18,19,259,247,1,2
2018-10-02,18,19,259,261,1,1
2018-10-02,18,19,265,262,1,1
2018-10-02,18,19,266,261,1,1
2018-10-02,18,20,171,266,1,1
2018-10-02,18,20,189,261,1,1
2018-10-02,18,20,248,250,1,1
2018-10-02,18,20,257,262,1,1
2018-10-02,18,21,261,251,1,3
2018-10-02,19,20,246,247,1,1
2018-10-02,19,20,252,249,1,1
2018-10-02,19,20,265,261,1,1
2018-10-02,19,21,254,252,1,3
2018-10-02,19,21,261,251,1,1
2018-10-02,20,21,189,259,1,1
2018-10-02,21,22,171,264,1,1
2018-10-02,21,22,262,265,1,2
2018-10-02,21,23,259,258,1,1
2018-10-02,21,23,261,260,1,1
2018-10-02,22,23,248,261,1,1
2018-10-02,23,0,171,261,1,1
2018-10-03,0,2,247,262,1,1
2018-10-03,6,7,254,248,1,1
2018-10-03,6,7,258,259,1,1
2018-10-03,6,8,189,246,1,1
2018-10-03,7,8,246,260,1,1
2018-10-03,7,8,252,247,1,1
2018-10-03,7,8,260,259,1,1
2018-10-03,7,8,261,247,1,1
2018-10-03,7,9,248,253,1,1
2018-10-03,7,9,260,225,1,1
2018-10-03,8,9,249,171,1,1
2018-10-03,8,9,249,252,1,1
2018-10-03,8,9,253,249,1,1
2018-10-03,8,9,254,265,1,1
2018-10-03,8,9,259,262,1,1
2018-10-03,8,9,264,189,1,1
2018-10-03,8,9,265,253,1,1
2018-10-03,8,9,266,259,1,1
2018-10-03,8,10,252,265,1,1
2018-10-03,8,10,265,254,1,1
2018-10-03,9,10,259,273,1,1
2018-10-03,9,10,265,246,1,1
2018-10-03,9,11,246,254,1,1
2018-10-03,10,11,171,254,1,1
2018-10-03,10,11,246,265,1,1
2018-10-03,10,11,248,246,1,1
2018-10-03,10,11,249,171,1,1
2018-10-03,11,12,171,259,1,1
2018-10-03,11,12,256,250,1,1
2018-10-03,11,12,262,247,1,1
2018-10-03,12,13,171,254,1,1
2018-10-03,12,13,183,262,1,1
2018-10-03,12,13,225,261,1,1
2018-10-03,12,13,247,183,1,1
2018-10-03,12,13,247,248,1,1
2018-10-03,12,13,249,171,1,1
2018-10-03,12,13,259,171,1,1
2018-10-03,12,14,248,171,1,1
2018-10-03,13,14,249,171,1,1
2018-10-03,14,15,254,248,1,1
2018-10-03,14,15,260,183,1,1
2018-10-03,14,16,183,250,1,1
2018-10-03,14,16,246,247,1,1
2018-10-03,14,16,258,262,1,2
2018-10-03,15,16,189,258,1,1
2018-10-03,15,16,247,258,1,1
2018-10-03,15,16,248,254,1,1
2018-10-03,15,16,251,273,1,1
2018-10-03,15,16,260,264,1,1
2018-10-03,15,16,262,247,1,1
2018-10-03,15,16,262,250,1,1
2018-10-03,15,17,171,264,1,1
2018-10-03,15,17,257,183,1,1
2018-10-03,15,17,273,250,1,1
2018-10-03,15,18,273,183,1,1
2018-10-03,16,17,171,254,1,1
2018-10-03,16,17,171,261,1,1
2018-10-03,16,17,225,250,1,1
2018-10-03,16,17,247,171,1,1
2018-10-03,16,17,247,250,1,1
2018-10-03,16,17,248,262,1,1
2018-10-03,16,17,248,273,1,1
2018-10-03,16,17,254,248,1,1
2018-10-03,16,17,257,250,1,1
2018-10-03,16,17,259,249,1,1
2018-10-03,16,17,259,262,1,1
2018-10-03,16,17,260,249,1,1
2018-10-03,16,17,262,250,1,2
2018-10-03,16,17,264,257,1,1
2018-10-03,16,18,171,249,1,1
2018-10-03,16,18,247,273,1,1
2018-10-03,16,18,249,253,1,1
2018-10-03,16,18,250,262,1,1
2018-10-03,17,18,189,183,1,1
2018-10-03,17,18,246,261,1,1
2018-10-03,17,18,247,258,1,1
2018-10-03,17,18,247,262,1,2
2018-10-03,17,18,249,247,1,1
2018-10-03,17,18,249,261,1,1
2018-10-03,17,18,250,258,1,1
2018-10-03,17,18,259,250,1,1
2018-10-03,17,18,259,262,1,1
2018-10-03,17,18,261,225,1,1
2018-10-03,17,18,261,247,1,1
2018-10-03,17,19,247,273,1,1
2018-10-03,17,19,248,249,1,1
2018-10-03,18,19,247,273,1,1
2018-10-03,19,20,171,249,1,2
2018-10-03,19,20,246,247,1,1
2018-10-03,19,20,251,266,1,1
2018-10-03,19,20,260,259,1,1
2018-10-03,20,21,183,257,1,1
2018-10-03,20,21,248,261,1,1
2018-10-03,22,0,249,246,1,1
2018-10-03,22,23,249,265,1,1
2018-10-03,23,0,247,262,1,1
2018-10-04,0,1,248,249,1,1
2018-10-04,5,7,225,273,1,1
2018-10-04,5,7,254,248,1,1
2018-10-04,7,8,250,261,1,1
2018-10-04,7,8,258,250,1,1
2018-10-04,7,8,262,257,1,1
2018-10-04,7,9,264,171,1,1
2018-10-04,8,9,225,246,1,1
2018-10-04,8,9,246,254,1,1
2018-10-04,8,9,249,171,1,2
2018-10-04,8,9,253,171,1,1
2018-10-04,8,9,253,249,1,1
2018-10-04,8,9,256,253,1,1
2018-10-04,8,9,260,259,1,1
2018-10-04,8,9,261,262,1,1
2018-10-04,8,9,265,183,1,1
2018-10-04,8,9,266,262,1,1
2018-10-04,8,10,250,258,1,1
2018-10-04,9,10,249,171,1,1
2018-10-04,9,11,256,250,1,1
2018-10-04,10,12,262,266,1,1
2018-10-04,11,12,259,247,1,1
2018-10-04,11,12,265,254,1,1
2018-10-04,11,12,265,261,1,1
2018-10-04,11,13,248,250,1,1
2018-10-04,11,13,249,273,1,1
2018-10-04,11,13,250,189,1,1
2018-10-04,12,13,254,260,1,1
2018-10-04,12,13,260,262,1,1
2018-10-04,12,13,265,249,1,1
2018-10-04,13,14,251,250,1,1
2018-10-04,13,14,254,248,1,1
2018-10-04,13,14,265,252,1,1
2018-10-04,13,14,275,248,1,1
2018-10-04,13,15,265,258,1,1
2018-10-04,14,15,171,264,1,1
2018-10-04,14,15,260,183,1,1
2018-10-04,14,15,264,247,1,1
2018-10-04,14,16,262,261,1,1
