started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-09-01 08:00:29.797000+00:00,2021-09-01 08:10:03.333000+00:00,573,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-09-01 08:06:39.989000+00:00,2021-09-01 09:04:16.900000+00:00,3456,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906
2021-09-01 08:14:19.917000+00:00,2021-09-01 11:49:55.982000+00:00,12936,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918
2021-09-01 08:22:17.293000+00:00,2021-09-01 08:34:57.172000+00:00,759,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,289,Castle Street,Near Rose Street,55.95150073734976,-3.2031839065252825
2021-09-01 08:27:46.462000+00:00,2021-09-01 08:40:58.415000+00:00,791,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785
2021-09-01 08:28:41.094000+00:00,2021-09-01 08:58:23.291000+00:00,1782,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785
2021-09-01 08:35:34.008000+00:00,2021-09-01 08:46:06.400000+00:00,632,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-09-01 08:44:42.387000+00:00,2021-09-01 08:57:39.904000+00:00,777,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-09-01 08:51:06.883000+00:00,2021-09-01 09:23:19.580000+00:00,1932,1807,Gamekeeper's Road,Junction with Whitehouse Road,55.969442746098885,-3.3072587984723745,1807,Gamekeeper's Road,Junction with Whitehouse Road,55.969442746098885,-3.3072587984723745
2021-09-01 09:01:21.782000+00:00,2021-09-01 09:13:13.876000+00:00,712,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-09-01 09:04:33.826000+00:00,2021-09-01 10:31:47.659000+00:00,5233,1739,Edinburgh Royal Infirmary,Front of new Sick Kids Hospital,55.92135417116336,-3.1369712992544976,1739,Edinburgh Royal Infirmary,Front of new Sick Kids Hospital,55.92135417116336,-3.1369712992544976
2021-09-01 09:05:12.501000+00:00,2021-09-01 09:13:22.574000+00:00,490,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906,1748,Colinton Road,Near Napier University Merchiston Campus,55.93341635916104,-3.21239711224257
2021-09-01 09:13:57.059000+00:00,2021-09-01 09:23:22.791000+00:00,565,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-09-01 09:27:43.821000+00:00,2021-09-01 09:34:58.177000+00:00,434,1098,Marchmont Crescent,Corner of Marchmont Road,55.9364319181482,-3.194150044314256,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818
2021-09-01 09:48:47.673000+00:00,2021-09-01 09:56:59.130000+00:00,491,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-09-01 09:52:56.424000+00:00,2021-09-01 09:56:02.266000+00:00,185,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-09-01 09:54:54.870000+00:00,2021-09-01 10:24:06.996000+00:00,1752,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 09:55:18.837000+00:00,2021-09-01 10:24:28.855000+00:00,1750,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 09:56:50.585000+00:00,2021-09-01 10:35:53.194000+00:00,2342,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536
2021-09-01 10:25:44.696000+00:00,2021-09-01 10:40:59.843000+00:00,915,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537
2021-09-01 10:31:10.758000+00:00,2021-09-01 11:04:00.241000+00:00,1969,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-09-01 10:32:27.394000+00:00,2021-09-01 11:05:43.805000+00:00,1996,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-09-01 10:36:45.808000+00:00,2021-09-01 10:39:36.770000+00:00,170,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
